Generation,Fitness,Best fitness,Mutation rate
0,1065.9496571322436,1065.9496571322436,0.099
1,1065.9496571322436,1065.9496571322436,0.09999000000000001
2,1063.4979606240713,1063.4979606240713,0.09899010000000001
3,1062.515281575037,1062.515281575037,0.09800019900000001
4,1060.7063320950965,1060.7063320950965,0.09702019701
5,1060.1831905646359,1060.1831905646359,0.0960499950399
6,1057.3781311292719,1057.3781311292719,0.095089495089501
7,1054.832130757801,1054.832130757801,0.09413860013860599
8,1052.5307436849926,1052.5307436849926,0.09319721413721993
9,1051.418765601783,1051.418765601783,0.09226524199584774
10,1051.1058841010401,1051.1058841010401,0.09134258957588925
11,1051.1058841010401,1051.1058841010401,0.09225601547164815
12,1049.2096158989598,1049.2096158989598,0.09133345531693167
13,1048.8460416047549,1048.8460416047549,0.09042012076376235
14,1048.2038120356613,1048.2038120356613,0.08951591955612473
15,1046.5429676820208,1046.5429676820208,0.08862076036056347
16,1045.679631872214,1045.679631872214,0.08773455275695784
17,1044.7842700594354,1044.7842700594354,0.08685720722938826
18,1044.443881872214,1044.443881872214,0.08598863515709439
19,1043.538412332838,1043.538412332838,0.08512874880552344
20,1042.8223443536403,1042.8223443536403,0.0842774613174682
21,1040.5002615156018,1040.5002615156018,0.08343468670429352
22,1038.4754528231797,1038.4754528231797,0.08260033983725058
23,1037.7224231054977,1037.7224231054977,0.08177433643887808
24,1036.018705052006,1036.018705052006,0.0809565930744893
25,1036.018705052006,1036.018705052006,0.08176615900523419
26,1034.9061979940564,1034.9061979940564,0.08094849741518186
27,1032.6871571322438,1032.6871571322438,0.08013901244103004
28,1031.5814301634473,1031.5814301634473,0.07933762231661974
29,1030.8037674591383,1030.8037674591383,0.07854424609345355
30,1030.1085059435363,1030.1085059435363,0.07775880363251901
31,1027.4212102526003,1027.4212102526003,0.07698121559619382
32,1027.4212102526003,1027.4212102526003,0.07775102775215575
33,1027.0250456909362,1027.0250456909362,0.0769735174746342
34,1027.0250456909362,1027.0250456909362,0.07774325264938053
35,1026.5431248142645,1026.5431248142645,0.07696582012288673
36,1026.035956166419,1026.035956166419,0.07619616192165786
37,1024.5898421248144,1024.5898421248144,0.07543420030244129
38,1024.5898421248144,1024.5898421248144,0.0761885423054657
39,1023.6633060921248,1023.6633060921248,0.07542665688241104
40,1023.5565471768202,1023.5565471768202,0.07467239031358693
41,1023.5565471768202,1023.5565471768202,0.0754191142167228
42,1022.4367299405646,1022.4367299405646,0.07466492307455558
43,1022.4367299405646,1022.4367299405646,0.07541157230530113
44,1022.1306731054977,1022.1306731054977,0.07465745658224812
45,1020.9029643387815,1020.9029643387815,0.07391088201642564
46,1020.9029643387815,1020.9029643387815,0.0746499908365899
47,1019.8069082466568,1019.8069082466568,0.073903490928224
48,1019.388942421991,1019.388942421991,0.07316445601894175
49,1019.2153046062407,1019.2153046062407,0.07243281145875234
50,1017.7246671619614,1017.7246671619614,0.07170848334416481
