Generation,Fitness,Mutation rate
0,1186.8073751857355,0.15
8,1178.6573907875186,0.14984999999999998
9,1168.807763001486,0.14970014999999998
13,1161.5087440564637,0.14955044985
17,1160.1034078751857,0.14940089940015
18,1156.6117444279346,0.14925149850074984
20,1154.7179167904903,0.14910224700224908
21,1152.5767715453194,0.14895314475524685
23,1139.9641578751857,0.1488041916104916
25,1138.0204349925705,0.14865538741888112
