Generation,Fitness,Best fitness,Mutation rate
0,7295.305523569418,7295.305523569418,0.0999
1,6844.980743433396,6844.980743433396,0.0998001
2,6668.606439376173,6668.606439376173,0.0997002999
3,6455.185714704503,6455.185714704503,0.0996005996001
4,6398.678041744841,6398.678041744841,0.0995009990004999
5,6233.508347795497,6233.508347795497,0.0994014980014994
6,6006.851696763602,6006.851696763602,0.0993020965034979
7,5896.191413578799,5896.191413578799,0.09920279440699441
8,5755.051344981238,5755.051344981238,0.09910359161258742
9,5610.73158771107,5610.73158771107,0.09900448802097483
10,5412.530877696998,5412.530877696998,0.09890548353295386
11,5372.692144113508,5372.692144113508,0.0988065780494209
12,5231.964251876173,5231.964251876173,0.09870777147137148
13,5208.406418855535,5208.406418855535,0.0986090636999001
14,5124.570589821764,5124.570589821764,0.0985104546362002
15,5007.388042917449,5007.388042917449,0.098411944181564
16,5007.388042917449,5007.388042917449,0.09851035612574556
17,4949.460761022514,4949.460761022514,0.09841184576961981
18,4878.9366363742965,4878.9366363742965,0.0983134339238502
19,4761.836153846154,4761.836153846154,0.09821512048992635
20,4710.523253400563,4710.523253400563,0.09811690536943643
21,4681.440811444653,4681.440811444653,0.09801878846406699
22,4603.314322818949,4603.314322818949,0.09792076967560293
23,4508.108109756097,4508.108109756097,0.09782284890592732
24,4449.723964000938,4449.723964000938,0.0977250260570214
25,4444.030167096623,4444.030167096623,0.09762730103096437
26,4419.8374319887425,4419.8374319887425,0.0975296737299334
27,4360.397607879925,4360.397607879925,0.09743214405620347
28,4360.397607879925,4360.397607879925,0.09752957620025966
29,4278.9085131332085,4278.9085131332085,0.09743204662405941
30,4236.945660764541,4236.945660764541,0.09733461457743535
31,4148.241211890244,4148.241211890244,0.09723727996285791
32,4106.587496482176,4106.587496482176,0.09714004268289506
33,4063.8823968105066,4063.8823968105066,0.09704290264021216
34,4052.9556121013134,4052.9556121013134,0.09694585973757194
35,4022.8450498358347,4022.8450498358347,0.09684891387783437
36,3970.7039012664163,3970.7039012664163,0.09675206496395654
37,3937.886309803002,3937.886309803002,0.09665531289899258
38,3937.886309803002,3937.886309803002,0.09675196821189157
39,3918.0886538461536,3918.0886538461536,0.09665521624367968
40,3837.8867507035648,3837.8867507035648,0.096558561027436
41,3837.8867507035648,3837.8867507035648,0.09665511958846343
42,3788.108857293621,3788.108857293621,0.09655846446887496
43,3753.645378166041,3753.645378166041,0.09646190600440609
44,3739.233710717636,3739.233710717636,0.09636544409840168
45,3707.8122519934336,3707.8122519934336,0.09626907865430329
46,3703.991379573171,3703.991379573171,0.09617280957564898
47,3679.9187933864914,3679.9187933864914,0.09607663676607334
48,3605.888485576923,3605.888485576923,0.09598056012930727
49,3571.425442073171,3571.425442073171,0.09588457956917795
50,3547.098581730769,3547.098581730769,0.09578869498960878
51,3481.3466733114446,3481.3466733114446,0.09569290629461917
52,3474.566951805816,3474.566951805816,0.09559721338832455
53,3410.0239018527204,3410.0239018527204,0.09550161617493623
54,3389.451885553471,3389.451885553471,0.09540611455876129
55,3383.715613273921,3383.715613273921,0.09531070844420253
56,3343.9509515712944,3343.9509515712944,0.09521539773575832
57,3338.9116058864915,3338.9116058864915,0.09512018233802257
58,3328.8991082317075,3328.8991082317075,0.09502506215568454
59,3270.2719265947467,3270.2719265947467,0.09493003709352886
60,3270.2719265947467,3270.2719265947467,0.09502496713062238
61,3268.8566668621015,3268.8566668621015,0.09492994216349175
62,3260.1120462007507,3260.1120462007507,0.09483501222132826
63,3233.64021575985,3233.64021575985,0.09474017720910693
64,3193.236248241088,3193.236248241088,0.09464543703189783
65,3180.222226782364,3180.222226782364,0.09455079159486593
66,3140.3388203564728,3140.3388203564728,0.09445624080327106
67,3140.3388203564728,3140.3388203564728,0.09455069704407432
68,3125.4514264774857,3125.4514264774857,0.09445614634703024
69,3120.939122889306,3120.939122889306,0.09436169020068322
70,3077.972234990619,3077.972234990619,0.09426732851048253
71,3077.972234990619,3077.972234990619,0.094361595838993
72,3077.972234990619,3077.972234990619,0.09445595743483198
73,2986.2634251876175,2986.2634251876175,0.09436150147739715
74,2982.486914868668,2982.486914868668,0.09426713997591975
75,2976.510931050657,2976.510931050657,0.09417287283594383
76,2958.22458782833,2958.22458782833,0.09407869996310789
77,2958.22458782833,2958.22458782833,0.09417277866307099
78,2937.4278769934335,2937.4278769934335,0.09407860588440792
79,2911.2494365619136,2911.2494365619136,0.09398452727852351
80,2911.2494365619136,2911.2494365619136,0.09407851180580203
81,2908.0257334662288,2908.0257334662288,0.09398443329399622
82,2875.4949126407128,2875.4949126407128,0.09389044886070222
83,2875.4949126407128,2875.4949126407128,0.09398433930956292
84,2875.4949126407128,2875.4949126407128,0.09407832364887248
85,2875.4949126407128,2875.4949126407128,0.09417240197252134
86,2875.4949126407128,2875.4949126407128,0.09426657437449386
87,2851.21025152439,2851.21025152439,0.09417230780011937
88,2822.3937875234524,2822.3937875234524,0.09407813549231925
89,2736.028467987805,2736.028467987805,0.09398405735682692
90,2724.5125744606003,2724.5125744606003,0.09389007329947009
91,2724.5125744606003,2724.5125744606003,0.09398396337276956
92,2714.5174173311443,2714.5174173311443,0.09388997940939678
93,2679.5113414634147,2679.5113414634147,0.09379608942998738
94,2679.5113414634147,2679.5113414634147,0.09388988551941735
95,2670.3091662757975,2670.3091662757975,0.09379599563389793
96,2670.3091662757975,2670.3091662757975,0.09388979162953182
97,2670.2745843105067,2670.2745843105067,0.09379590183790229
98,2661.218062851782,2661.218062851782,0.09370210593606439
99,2606.8700322467166,2606.8700322467166,0.09360840383012832
100,2578.3474648217634,2578.3474648217634,0.09351479542629819
101,2578.3474648217634,2578.3474648217634,0.09360831022172447
102,2578.3474648217634,2578.3474648217634,0.09370191853194619
103,2578.3474648217634,2578.3474648217634,0.09379562045047812
104,2562.1544007973735,2562.1544007973735,0.09370182483002765
105,2525.1315402204505,2525.1315402204505,0.09360812300519762
106,2517.967284826454,2517.967284826454,0.09351451488219242
107,2499.1478271575984,2499.1478271575984,0.09342100036731023
108,2499.1478271575984,2499.1478271575984,0.09351442136767753
109,2499.1478271575984,2499.1478271575984,0.0936079357890452
