Generation,Fitness,Mutation rate
0,4522.168946136701,0.2
1,4214.095384843982,0.1998
2,4028.949850297177,0.1996002
3,3774.1244327637446,0.1994005998
4,3371.837633729569,0.1992011992002
5,3162.603115527489,0.1990019980009998
6,3051.17039115899,0.1988029960029988
7,2866.7140802377417,0.1986041930069958
8,2802.8482585438337,0.19840558881398881
9,2591.369531575037,0.19820718322517483
10,2506.036190193165,0.19800897604194967
11,2438.498185735513,0.19781096706590773
12,2424.3308057206536,0.1976131560988418
13,2401.1405208023775,0.19741554294274297
14,2340.655940193165,0.1972181273998002
15,2307.3973187221395,0.1970209092724004
16,2311.4510126300147,0.196823888363128
17,2257.2804197622586,0.19662706447476488
18,2175.1572440564637,0.19643043741029012
19,2132.3323161218427,0.19623400697287982
20,2118.658929420505,0.19603777296590694
21,2114.3443031203565,0.19584173519294104
22,2096.0699082466567,0.1956458934577481
23,2043.582689450223,0.19545024756429036
24,2065.2211002971767,0.19525479731672607
25,2038.0561731054977,0.19505954251940935
26,2023.5916901931648,0.19486448297688994
27,2004.9816667904904,0.19466961849391304
28,2000.55298551263,0.19447494887541913
29,1977.5462024517087,0.1942804739265437
30,1955.7009606240713,0.19408619345261716
31,1934.0848075780088,0.19389210725916453
32,1955.7796311292718,0.19369821515190536
33,1928.7591757057949,0.19350451693675344
34,1901.709615527489,0.19331101241981669
35,1880.9290668647845,0.19311770140739687
36,1883.9399420505201,0.19292458370598947
37,1876.9838811292718,0.1927316591222835
38,1856.145410104012,0.1925389274631612
39,1828.887073551263,0.19234638853569805
40,1821.5679814264488,0.19215404214716236
41,1803.982779346211,0.1919618881050152
42,1831.7892704309063,0.19176992621691016
43,1841.6269502228827,0.19157815629069325
44,1832.6552414561663,0.19138657813440255
45,1794.3348547548292,0.19119519155626816
46,1805.7724245913819,0.19100399636471188
47,1731.020074294205,0.19081299236834717
48,1729.1214301634473,0.19062217937597883
49,1716.4425980683507,0.19043155719660285
50,1725.4271667904904,0.19024112563940623
51,1749.657809435364,0.19005088451376684
52,1716.131884472511,0.18986083362925307
53,1726.115043833581,0.1896709727956238
54,1734.3173506686478,0.18948130182282819
55,1704.4007864041605,0.18929182052100535
56,1692.7465375185736,0.18910252870048436
57,1710.0332187964339,0.18891342617178386
58,1696.3008283803863,0.18872451274561208
59,1696.1406883358097,0.18853578823286646
60,1697.4692291976226,0.1883472524446336
61,1677.9828881872213,0.18815890519218897
62,1679.0509000742943,0.18797074628699678
63,1669.881442421991,0.1877827755407098
64,1656.1111110698366,0.18759499276516908
